ma_xa;ten_xa;loai;ma_huyen;ten_huyen;dan_so;Income(mil. VND);pop_serve(after);pop_serve_air(after);%serve;LOS;;Income;;;;dan_so (person);Income (Mil. VND);LOS;;;;;;;;;;;;;;;;;;;;;;
22363;Lộc Thọ;Phường;568;Nha Trang;18268;131,865;18268;18268;100,0%;A;;higher-middle income;;;;18268;131,865;A;;;;;;;;;;;;;;;;;;;;;;
22336;Ngọc Hiệp;Phường;568;Nha Trang;22676;237,98;6852;7526;30,2%;F;;high-income;;;;22676;237,98;F;;;;;;;;;;;;;;;;;;;;;;
22405;Phước Đồng;Xã;568;Nha Trang;32299;97,7805;16000;17716;49,5%;F;;lower-middle income;;;;32299;97,7805;F;;;;;;;;;;;;;;;;;;;;;;
22357;Phước Hải;Phường;568;Nha Trang;17546;210,321;17084;17436;97,4%;A;;high-income;;;;17546;210,321;A;;;;;;;;;;;;;;;;;;;;;;
22372;Phước Hòa;Phường;568;Nha Trang;10820;173,568971428571;10551;10721;97,5%;A;;high-income;;;;10820;173,568971428571;A;;;;;;;;;;;;;;;;;;;;;;
22378;Phước Long;Phường;568;Nha Trang;34408;152,2995;31295;31810;91,0%;A;;higher-middle income;;;;34408;152,2995;A;;;;;;;;;;;;;;;;;;;;;;
22330;Vĩnh Hải;Phường;568;Nha Trang;27386;153,1555;25971;26513;94,8%;A;;higher-middle income;;;;27386;153,1555;A;;;;;;;;;;;;;;;;;;;;;;
22399;Vĩnh Hiệp;Xã;568;Nha Trang;17204;187,343333333333;12749;14160;74,1%;C;;high-income;;;;17204;187,343333333333;C;;;;;;;;;;;;;;;;;;;;;;
22327;Vĩnh Hòa;Phường;568;Nha Trang;28250;207,229;20616;21803;73,0%;C;;high-income;;;;28250;207,229;C;;;;;;;;;;;;;;;;;;;;;;
22384;Vĩnh Lương;Xã;568;Nha Trang;14288;102,799;5676;6725;39,7%;F;;higher-middle income;;;;14288;102,799;F;;;;;;;;;;;;;;;;;;;;;;
22390;Vĩnh Ngọc;Xã;568;Nha Trang;28941;114,992;3360;4030;11,6%;F;;higher-middle income;;;;28941;114,992;F;;;;;;;;;;;;;;;;;;;;;;
22375;Vĩnh Nguyên;Phường;568;Nha Trang;22309;88,007;17133;17470;76,8%;C;;low-income;;;;22309;88,007;C;;;;;;;;;;;;;;;;;;;;;;
22333;Vĩnh Phước;Phường;568;Nha Trang;17320;201,0902;16263;16263;93,9%;A;;high-income;;;;17320;201,0902;A;;;;;;;;;;;;;;;;;;;;;;
22387;Vĩnh Phương;Xã;568;Nha Trang;21845;182,663666666667;15374;16226;70,4%;C;;high-income;;;;21845;182,663666666667;C;;;;;;;;;;;;;;;;;;;;;;
22402;Vĩnh Thái;Xã;568;Nha Trang;11620;230,184;4154;4758;35,7%;F;;high-income;;;;11620;230,184;F;;;;;;;;;;;;;;;;;;;;;;
22393;Vĩnh Thạnh;Xã;568;Nha Trang;20925;203,89475;14671;15277;70,1%;C;;high-income;;;;20925;203,89475;C;;;;;;;;;;;;;;;;;;;;;;
22339;Vĩnh Thọ;Phường;568;Nha Trang;6363;173,568971428571;6354;6363;99,9%;A;;high-income;;;;6363;173,568971428571;A;;;;;;;;;;;;;;;;;;;;;;
22396;Vĩnh Trung;Xã;568;Nha Trang;11677;173,568971428571;8575;9628;73,4%;C;;high-income;;;;11677;173,568971428571;C;;;;;;;;;;;;;;;;;;;;;;
22381;Vĩnh Trường;Phường;568;Nha Trang;14479;43,44675;13152;14048;90,8%;A;;low-income;;;;14479;43,44675;A;;;;;;;;;;;;;;;;;;;;;;
22366;Tân Tiến;Phường;568;Nha Trang;29809;119,340333333333;29809;29809;100,0%;A;;higher-middle income;;;;29809;119,340333333333;A;;;;;;;;;;;;;;;;;;;;;;
22348;Vạn Thạnh;Phường;568;Nha Trang;23787;411,409;23782;23787;100,0%;A;;high-income;;;;23787;411,409;A;;;;;;;;;;;;;;;;;;;;;;
22351;Phương Sài;Phường;568;Nha Trang;14015;210,187;12911;13329;92,1%;A;;high-income;;;;14015;210,187;A;;;;;;;;;;;;;;;;;;;;;;
22423;Ba Ngòi;Phường;569;Cam Ranh;10229;90,7836;7739;8038;75,7%;C;;low-income;;;;10229;90,7836;C;;;;;;;;;;;;;;;;;;;;;;
